iin	V(iin)	V(vout)	I(Iin)	I(Iout)	I(Vout)
4.765240000000023e-05	2.081970e+00	5.000000e+00	4.765240e-05	-1.111307e-18	-1.111307e-18
4.775230000000023e-05	2.079352e+00	5.000000e+00	4.775230e-05	1.544988e-18	1.544988e-18
4.785220000000023e-05	2.076736e+00	5.000000e+00	4.785220e-05	4.336809e-19	4.336809e-19
4.795210000000023e-05	2.074123e+00	5.000000e+00	4.795210e-05	1.338291e-18	1.338291e-18
4.805200000000024e-05	2.071511e+00	5.000000e+00	4.805200e-05	-4.878910e-19	-4.878910e-19
4.815190000000024e-05	2.068901e+00	5.000000e+00	4.815190e-05	2.454017e-19	2.454017e-19
4.825180000000024e-05	2.066293e+00	5.000000e+00	4.825180e-05	-7.108623e-20	-7.108623e-20
4.835170000000024e-05	2.063688e+00	5.000000e+00	4.835170e-05	1.084202e-19	1.084202e-19
4.845160000000025e-05	2.061084e+00	5.000000e+00	4.845160e-05	1.246832e-18	1.246832e-18
4.855150000000025e-05	2.058482e+00	5.000000e+00	4.855150e-05	-1.235434e-18	-1.235434e-18
4.865140000000025e-05	2.055882e+00	5.000000e+00	4.865140e-05	2.878136e-19	2.878136e-19
4.875130000000025e-05	2.053284e+00	5.000000e+00	4.875130e-05	5.046258e-19	5.046258e-19
4.885120000000025e-05	2.050688e+00	5.000000e+00	4.885120e-05	5.421011e-20	5.421011e-20
4.895110000000026e-05	2.048094e+00	5.000000e+00	4.895110e-05	-3.252607e-19	-3.252607e-19
4.905100000000026e-05	2.045502e+00	5.000000e+00	4.905100e-05	-3.252607e-19	-3.252607e-19
4.915090000000026e-05	2.042912e+00	5.000000e+00	4.915090e-05	2.168404e-19	2.168404e-19
4.925080000000026e-05	2.040323e+00	5.000000e+00	4.925080e-05	-1.263427e-18	-1.263427e-18
4.935070000000027e-05	2.037737e+00	5.000000e+00	4.935070e-05	-1.336037e-19	-1.336037e-19
