iin	V(iin)	I(Iin)	I(Iout)	I(Vdd)	I(Vout)
1.478530000000003e-05	3.127261e+00	1.478530e-05	1.553883e-05	-3.032413e-05	1.553883e-05
1.488520000000003e-05	3.123065e+00	1.488520e-05	1.564234e-05	-3.052754e-05	1.564234e-05
1.498510000000003e-05	3.118880e+00	1.498510e-05	1.574584e-05	-3.073093e-05	1.574584e-05
1.508500000000003e-05	3.114707e+00	1.508500e-05	1.584932e-05	-3.093432e-05	1.584932e-05
1.518490000000003e-05	3.110547e+00	1.518490e-05	1.595280e-05	-3.113770e-05	1.595280e-05
1.528480000000003e-05	3.106398e+00	1.528480e-05	1.605626e-05	-3.134106e-05	1.605626e-05
1.538470000000003e-05	3.102262e+00	1.538470e-05	1.615971e-05	-3.154441e-05	1.615971e-05
1.548460000000003e-05	3.098136e+00	1.548460e-05	1.626316e-05	-3.174776e-05	1.626316e-05
1.558450000000003e-05	3.094023e+00	1.558450e-05	1.636659e-05	-3.195109e-05	1.636659e-05
1.568440000000003e-05	3.089921e+00	1.568440e-05	1.647001e-05	-3.215441e-05	1.647001e-05
1.578430000000002e-05	3.085830e+00	1.578430e-05	1.657342e-05	-3.235772e-05	1.657342e-05
1.588420000000002e-05	3.081751e+00	1.588420e-05	1.667682e-05	-3.256102e-05	1.667682e-05
1.598410000000002e-05	3.077682e+00	1.598410e-05	1.678021e-05	-3.276431e-05	1.678021e-05
1.608400000000002e-05	3.073625e+00	1.608400e-05	1.688359e-05	-3.296759e-05	1.688359e-05
1.618390000000002e-05	3.069579e+00	1.618390e-05	1.698696e-05	-3.317086e-05	1.698696e-05
1.628380000000002e-05	3.065543e+00	1.628380e-05	1.709032e-05	-3.337412e-05	1.709032e-05
1.638370000000002e-05	3.061518e+00	1.638370e-05	1.719367e-05	-3.357737e-05	1.719367e-05
1.648360000000002e-05	3.057504e+00	1.648360e-05	1.729701e-05	-3.378061e-05	1.729701e-05
1.658350000000001e-05	3.053500e+00	1.658350e-05	1.740034e-05	-3.398384e-05	1.740034e-05
1.668340000000001e-05	3.049507e+00	1.668340e-05	1.750366e-05	-3.418706e-05	1.750366e-05
1.678330000000001e-05	3.045524e+00	1.678330e-05	1.760697e-05	-3.439026e-05	1.760697e-05
1.688320000000001e-05	3.041551e+00	1.688320e-05	1.771026e-05	-3.459346e-05	1.771026e-05
1.698310000000001e-05	3.037588e+00	1.698310e-05	1.781355e-05	-3.479665e-05	1.781355e-05
1.708300000000001e-05	3.033635e+00	1.708300e-05	1.791683e-05	-3.499983e-05	1.791683e-05
1.718290000000001e-05	3.029693e+00	1.718290e-05	1.802010e-05	-3.520300e-05	1.802010e-05
