vdm	Ix(M1:DRAIN)	Ix(M2:SOURCE)
-9.159999999999807e-02	-8.284996e-13	-1.473904e-12
-9.119999999999807e-02	-8.291068e-13	-1.473384e-12
-9.079999999999808e-02	-8.297194e-13	-1.472859e-12
-9.039999999999808e-02	-8.303375e-13	-1.472330e-12
-8.999999999999808e-02	-8.309612e-13	-1.471796e-12
-8.959999999999808e-02	-8.315905e-13	-1.471257e-12
-8.919999999999809e-02	-8.322255e-13	-1.470714e-12
-8.879999999999809e-02	-8.328662e-13	-1.470165e-12
-8.839999999999809e-02	-8.335126e-13	-1.469612e-12
-8.799999999999809e-02	-8.341647e-13	-1.469054e-12
-8.759999999999810e-02	-8.348228e-13	-1.468490e-12
-8.719999999999810e-02	-8.354866e-13	-1.467922e-12
-8.679999999999810e-02	-8.361564e-13	-1.467349e-12
-8.639999999999810e-02	-8.368322e-13	-1.466771e-12
-8.599999999999811e-02	-8.375139e-13	-1.466188e-12
-8.559999999999811e-02	-8.382017e-13	-1.465600e-12
-8.519999999999811e-02	-8.388956e-13	-1.465007e-12
-8.479999999999811e-02	-8.395957e-13	-1.464408e-12
-8.439999999999812e-02	-8.403019e-13	-1.463804e-12
-8.399999999999812e-02	-8.410144e-13	-1.463195e-12
-8.359999999999812e-02	-8.417331e-13	-1.462581e-12
-8.319999999999812e-02	-8.424581e-13	-1.461961e-12
-8.279999999999813e-02	-8.431895e-13	-1.461336e-12
-8.239999999999813e-02	-8.439274e-13	-1.460706e-12
-8.199999999999813e-02	-8.446717e-13	-1.460070e-12
-8.159999999999813e-02	-8.454224e-13	-1.459428e-12
-8.119999999999813e-02	-8.461797e-13	-1.458782e-12
-8.079999999999814e-02	-8.469437e-13	-1.458129e-12
-8.039999999999814e-02	-8.477142e-13	-1.457471e-12
-7.999999999999814e-02	-8.484915e-13	-1.456808e-12
-7.959999999999814e-02	-8.492755e-13	-1.456138e-12
-7.919999999999815e-02	-8.500662e-13	-1.455463e-12
-7.879999999999815e-02	-8.508638e-13	-1.454783e-12
-7.839999999999815e-02	-8.516683e-13	-1.454097e-12
-7.799999999999815e-02	-8.524797e-13	-1.453404e-12
