vdm	V(n001)	I(V1)	I(V3)
-9.559999999999805e-02	2.540995e+00	1.869562e-09	3.156916e-08
-9.519999999999805e-02	2.540967e+00	1.892892e-09	3.154587e-08
-9.479999999999805e-02	2.540938e+00	1.916481e-09	3.152232e-08
-9.439999999999805e-02	2.540909e+00	1.940330e-09	3.149851e-08
-9.399999999999806e-02	2.540880e+00	1.964441e-09	3.147444e-08
-9.359999999999806e-02	2.540850e+00	1.988816e-09	3.145010e-08
-9.319999999999806e-02	2.540820e+00	2.013457e-09	3.142550e-08
-9.279999999999806e-02	2.540789e+00	2.038367e-09	3.140063e-08
-9.239999999999807e-02	2.540759e+00	2.063547e-09	3.137550e-08
-9.199999999999807e-02	2.540727e+00	2.089000e-09	3.135009e-08
-9.159999999999807e-02	2.540696e+00	2.114726e-09	3.132441e-08
-9.119999999999807e-02	2.540664e+00	2.140730e-09	3.129845e-08
-9.079999999999808e-02	2.540632e+00	2.167012e-09	3.127221e-08
-9.039999999999808e-02	2.540599e+00	2.193575e-09	3.124569e-08
-8.999999999999808e-02	2.540566e+00	2.220420e-09	3.121889e-08
-8.959999999999808e-02	2.540533e+00	2.247550e-09	3.119181e-08
-8.919999999999809e-02	2.540499e+00	2.274967e-09	3.116444e-08
-8.879999999999809e-02	2.540465e+00	2.302673e-09	3.113678e-08
-8.839999999999809e-02	2.540431e+00	2.330670e-09	3.110883e-08
-8.799999999999809e-02	2.540396e+00	2.358959e-09	3.108059e-08
-8.759999999999810e-02	2.540360e+00	2.387543e-09	3.105205e-08
-8.719999999999810e-02	2.540325e+00	2.416424e-09	3.102322e-08
-8.679999999999810e-02	2.540289e+00	2.445604e-09	3.099409e-08
-8.639999999999810e-02	2.540252e+00	2.475085e-09	3.096466e-08
-8.599999999999811e-02	2.540216e+00	2.504869e-09	3.093493e-08
-8.559999999999811e-02	2.540179e+00	2.534957e-09	3.090489e-08
-8.519999999999811e-02	2.540141e+00	2.565352e-09	3.087455e-08
-8.479999999999811e-02	2.540103e+00	2.596055e-09	3.084390e-08
-8.439999999999812e-02	2.540064e+00	2.627070e-09	3.081294e-08
-8.399999999999812e-02	2.540025e+00	2.658396e-09	3.078167e-08
-8.359999999999812e-02	2.539986e+00	2.690038e-09	3.075008e-08
-8.319999999999812e-02	2.539946e+00	2.721995e-09	3.071818e-08
-8.279999999999813e-02	2.539906e+00	2.754271e-09	3.068596e-08
-8.239999999999813e-02	2.539866e+00	2.786866e-09	3.065342e-08
-8.199999999999813e-02	2.539825e+00	2.819784e-09	3.062055e-08
-8.159999999999813e-02	2.539783e+00	2.853025e-09	3.058737e-08
-8.119999999999813e-02	2.539741e+00	2.886592e-09	3.055386e-08
-8.079999999999814e-02	2.539699e+00	2.920487e-09	3.052003e-08
-8.039999999999814e-02	2.539656e+00	2.954710e-09	3.048586e-08
-7.999999999999814e-02	2.539613e+00	2.989265e-09	3.045137e-08
-7.959999999999814e-02	2.539569e+00	3.024152e-09	3.041654e-08
-7.919999999999815e-02	2.539525e+00	3.059373e-09	3.038138e-08
-7.879999999999815e-02	2.539480e+00	3.094931e-09	3.034588e-08
-7.839999999999815e-02	2.539435e+00	3.130827e-09	3.031005e-08
-7.799999999999815e-02	2.539390e+00	3.167062e-09	3.027388e-08
-7.759999999999816e-02	2.539344e+00	3.203638e-09	3.023737e-08
-7.719999999999816e-02	2.539297e+00	3.240558e-09	3.020051e-08
-7.679999999999816e-02	2.539251e+00	3.277821e-09	3.016331e-08
