#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A189EA
#Date Time: 2024-04-21 19:54:23.665
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -1.51 V Sample Mode: Average
#Channel 2: Range: 50 mV/div Offset: -1.505 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Period: 2 ms
#Amplitude: 100 mV
#Offset: 1.5 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.001026881083805923,1.591347232108627,1.578652252925269
-0.001026251083805923,1.592011825349408,1.578652252925269
-0.001025621083805923,1.592011825349408,1.578652252925269
-0.001024991083805923,1.592344121969798,1.578986255514337
-0.001024361083805923,1.592011825349408,1.578986255514337
-0.001023731083805923,1.591679528729018,1.578318250336202
-0.001023101083805923,1.591347232108627,1.578986255514337
-0.001022471083805923,1.591347232108627,1.578986255514337
-0.001021841083805923,1.591347232108627,1.578652252925269
-0.001021211083805923,1.591347232108627,1.578318250336202
-0.001020581083805923,1.591347232108627,1.578652252925269
-0.001019951083805923,1.591679528729018,1.578652252925269
-0.001019321083805923,1.591679528729018,1.578986255514337
-0.001018691083805923,1.591679528729018,1.579320258103404
-0.001018061083805923,1.591347232108627,1.579654260692472
-0.001017431083805923,1.591014935488237,1.579320258103404
-0.001016801083805923,1.591347232108627,1.579654260692472
-0.001016171083805923,1.591347232108627,1.57998826328154
-0.001015541083805923,1.591347232108627,1.579320258103404
-0.001014911083805923,1.591014935488237,1.579320258103404
-0.001014281083805923,1.591347232108627,1.578652252925269
-0.001013651083805923,1.591347232108627,1.579320258103404
-0.001013021083805923,1.591679528729018,1.579654260692472
-0.001012391083805923,1.591347232108627,1.57998826328154
-0.001011761083805923,1.591679528729018,1.580322265870607
-0.001011131083805923,1.592011825349408,1.580656268459675
-0.001010501083805923,1.591679528729018,1.580322265870607
-0.001009871083805923,1.592344121969798,1.57998826328154
-0.001009241083805923,1.592011825349408,1.579320258103404
-0.001008611083805923,1.592011825349408,1.57998826328154
-0.001007981083805923,1.592344121969798,1.580322265870607
-0.001007351083805923,1.591014935488237,1.580656268459675
-0.001006721083805923,1.591014935488237,1.580322265870607
-0.001006091083805923,1.591347232108627,1.580990271048742
-0.001005461083805923,1.592344121969798,1.580656268459675
-0.001004831083805923,1.592011825349408,1.580322265870607
-0.001004201083805923,1.591347232108627,1.580322265870607
-0.001003571083805923,1.591347232108627,1.580322265870607
-0.001002941083805923,1.592011825349408,1.580656268459675
-0.001002311083805923,1.591679528729018,1.580656268459675
-0.001001681083805923,1.592011825349408,1.580322265870607
-0.001001051083805923,1.591679528729018,1.580990271048742
-0.001000421083805923,1.591347232108627,1.580656268459675
-0.0009997910838059232,1.592011825349408,1.580322265870607
-0.0009991610838059233,1.592011825349408,1.580990271048742
-0.0009985310838059233,1.591679528729018,1.580990271048742
-0.0009979010838059232,1.591679528729018,1.580990271048742
-0.0009972710838059232,1.591347232108627,1.580990271048742
-0.0009966410838059233,1.590682638867847,1.580990271048742
-0.0009960110838059233,1.591014935488237,1.580990271048742
-0.0009953810838059232,1.591347232108627,1.58132427363781
-0.0009947510838059232,1.591679528729018,1.58132427363781
-0.0009941210838059233,1.591679528729018,1.580990271048742
-0.0009934910838059233,1.591347232108627,1.580990271048742
-0.0009928610838059232,1.591347232108627,1.58132427363781
